time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-20T15:56:16.200Z,-21.8918,-179.4298,579.66,5.2,mb,,96,7.446,0.74,us,us10004re6,2016-02-20T23:58:50.824Z,"156km SSW of Ndoi Island, Fiji",earthquake,12.1,8.9,0.051,129,reviewed,us,us
2016-02-20T15:51:22.810Z,-21.9139,-179.359,579.39,5.8,mb,,85,7.413,0.94,us,us10004rdp,2016-02-21T03:56:18.000Z,"155km SSW of Ndoi Island, Fiji",earthquake,8,8.1,0.06,102,reviewed,us,us
2016-02-20T14:59:58.650Z,4.505,-32.5457,10,5.1,mb,,90,27.64,0.54,us,us10004rde,2016-02-20T23:02:30.186Z,"Central Mid-Atlantic Ridge",earthquake,13.2,1.9,0.108,28,reviewed,us,us
2016-02-20T14:54:20.410Z,5.0102,-32.6824,10,4.9,mb,,149,13.328,0.85,us,us10004rda,2016-02-20T22:56:56.503Z,"Central Mid-Atlantic Ridge",earthquake,14.6,1.9,0.087,42,reviewed,us,us
2016-02-20T14:38:41.480Z,-22.3474,179.2886,595.52,5.1,mb,,99,10.603,0.78,us,us10004rd8,2016-02-20T22:41:27.533Z,"280km SW of Ndoi Island, Fiji",earthquake,11.6,9.1,0.061,87,reviewed,us,us
2016-02-20T13:58:17.840Z,4.9832,-32.5833,10,4.9,mb,,147,13.284,1.02,us,us10004rcw,2016-02-20T22:01:01.766Z,"Central Mid-Atlantic Ridge",earthquake,14.6,1.9,0.09,39,reviewed,us,us
2016-02-20T13:50:49.390Z,4.6428,-32.5624,10,4.8,mb,,132,18.172,0.94,us,us10004rcm,2016-02-20T21:53:49.768Z,"Central Mid-Atlantic Ridge",earthquake,14.8,1.9,0.103,30,reviewed,us,us
2016-02-20T13:42:15.100Z,4.5745,-32.6203,10,4.9,mb,,143,18.257,0.93,us,us10004rcl,2016-02-20T21:45:20.920Z,"Central Mid-Atlantic Ridge",earthquake,14.4,1.9,0.093,37,reviewed,us,us
2016-02-20T13:25:25.170Z,-29.1241,-179.1507,341.94,4.6,mb,,138,1.075,0.79,us,us10004rcc,2016-02-20T21:28:03.337Z,"122km W of Raoul Island, New Zealand",earthquake,13.5,8.2,0.098,31,reviewed,us,us
2016-02-20T12:56:38.040Z,38.1011,74.1418,180.11,4.5,mb,,132,2.046,1.03,us,us10004rc3,2016-02-20T20:59:08.352Z,"17km ESE of Murghob, Tajikistan",earthquake,7.6,5,0.085,41,reviewed,us,us
2016-02-20T12:48:06.670Z,4.5349,-32.6893,10,4.8,mb,,130,10.781,0.87,us,us10004rca,2016-02-20T20:50:36.531Z,"Central Mid-Atlantic Ridge",earthquake,9.1,1.9,0.071,62,reviewed,us,us
